## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.brand,entity.invdaysonhand,entity.invapproved,entity.popularity,entity.sapstatus,entity.approvalstatus,entity.eodiscount,entity.eodiscountperc,entity.vendorname,entity.shortdesc,entity.partgroup,entity.hier1,entity.hier2,entity.hier3,entity.stockstatus
2380QT=BP,"Eastman<sup>&#8482;</sup> P3435903 Turbine Engine Oil 2380, 1 qt",Lubricants,,https://shop.boeing.com/content-images/2380QT=BP_280.JPG,,https://shop.boeing.com/aviation-supply/p/2380QT=BP,53270,,Eastman Turbine Oil - Formerly BP,66.15,APPROVED,7614,A,approved,STANDARD,0,"SOLUTIA, INC.","OIL: TURBINE ENGINE,QT",Chemicals,Competitive,SC,Base,1
CH48108-1=2G,"Champion CH48108-1 Piston - Oil Filter, Spin-On",Ignition & Filtration,,https://shop.boeing.com/content-images/CH48108-1=2G_280.JPG,,https://shop.boeing.com/aviation-supply/p/CH48108-1=2G,1580,,Champion Aviation,73.49,APPROVED,4239,A,approved,STANDARD,0,"CHAMPION AEROSPACE, INC.","FILTER: OIL,SPIN-ON,LONG",Piston related,Competitive,SC,Base,1
15W50QT=SD,"AeroShell 550041165 Piston Engine Oil W 15 W 50, 1 qt",Lubricants,,https://shop.boeing.com/content-images/15W50QT=SD_280.JPG,,https://shop.boeing.com/aviation-supply/p/15W50QT=SD,40325,,AeroShell,100.98,APPROVED,3672,A,approved,STANDARD,0,SOPUS PRODUCTS,"OIL: PISTON ENGINE,15W50,QT",Chemicals,Competitive,SC,Base,1
M0BILJETIIQT=3Z,"Mobil Jet<sup>&#8482;</sup> Oil II Synthetic Jet Engine Oil, 1 qt",Lubricants,,https://shop.boeing.com/content-images/M0BILJETIIQT=3Z_280.JPG,,https://shop.boeing.com/aviation-supply/p/M0BILJETIIQT=3Z,85246,,ExxonMobil,68.58,APPROVED,3501,A,approved,STANDARD,0,EXXONMOBIL CORPORATION,"OIL: TURBINE ENGINE,QT",Chemicals,Competitive,SC,Base,1
M0BIL254QT=3Z,"Mobil Jet<sup>&#8482;</sup> Oil 254  Synthetic Jet Engine Oil, 1 qt",Lubricants,,https://shop.boeing.com/content-images/M0BIL254QT=3Z_280.JPG,,https://shop.boeing.com/aviation-supply/p/M0BIL254QT=3Z,14042,,ExxonMobil,33.49,APPROVED,3338,A,approved,STANDARD,0,EXXONMOBIL CORPORATION,"OIL: TURBINE ENGINE,QT",Chemicals,Competitive,SC,Base,1
021200-19927=32,"3M<sup>&#8482;</sup> 1300L Rubber and Gasket Adhesive 62140365305 Yellow, 1 qt can",Adhesives,,https://shop.boeing.com/content-images/021200-19927=32_280.JPG,,https://shop.boeing.com/aviation-supply/p/021200-19927=32,1498,,3M Industrial,78.19,APPROVED,3120,A,approved,STANDARD,0,3M INDUSTRIAL,"ADHESIVE: RUBBER & GASKET,YEL,QT",Chemicals,Competitive,SC,Base,1
CH48109-1=2G,"Champion Aerospace CH48109-1 Spin-On High-Performance Oil Filter, 3/4 in Connection, Steel",Ignition & Filtration,,https://shop.boeing.com/content-images/CH48109-1=2G_280.JPG,,https://shop.boeing.com/aviation-supply/p/CH48109-1=2G,1189,,Champion Aviation,20.5,APPROVED,3007,A,approved,STANDARD,0,"CHAMPION AEROSPACE, INC.","FILTER: OIL,SPIN-ON,LONG",Piston related,Competitive,SC,Base,1
MS20995C25SS1LB=19,"Malin MS20995C25SS1LB Stainless Steel Safety Lockwire, .025 Diameter, 596 ft.",Safety Lock Wire,,https://shop.boeing.com/content-images/MS20995C25SS1LB=19_280.JPG,,https://shop.boeing.com/aviation-supply/p/MS20995C25SS1LB=19,4795,,Malin Company,124.32,APPROVED,2994,A,approved,STANDARD,0,MALIN CO,"WIRE: LOCK,SS,.025,1LB",Hardware,Competitive,SC,Base,1
7CTG=SD,"AeroShell 550043643 Advanced Multipurpose Aircraft Grease 7, 14 oz",Lubricants,,https://shop.boeing.com/content-images/7CTG=SD_280.JPG,,https://shop.boeing.com/aviation-supply/p/7CTG=SD,4619,,AeroShell,146.56,APPROVED,2971,A,approved,STANDARD,0,SOPUS PRODUCTS,"GREASE: MULTI-PURPOSE,14.1OZ",Chemicals,Competitive,SC,Base,1
00216=73,"LPS 2<sup>&#174;</sup> Heavy-Duty Lubricant,  11 oz aerosol can",Lubricants,,https://shop.boeing.com/content-images/00216=73_280.JPG,,https://shop.boeing.com/aviation-supply/p/00216=73,4707,,LPS Laboratories,104.33,APPROVED,2876,A,approved,STANDARD,0,ITW PRO BRANDS,"LUBRICANT: HEAVY DUTY,LPS-2,11OZ",Chemicals,Competitive,SC,Base,1
PR1422B1-2=5N,"PR-1422 Class B Fuel Tank Sealant, 6 oz 654 Semkit<sup>&#174;</sup>",Sealants,,https://shop.boeing.com/content-images/PR1422B1-2=5N_280.JPG,,https://shop.boeing.com/aviation-supply/p/PR1422B1-2=5N,8688,,PPG Aerospace / PRC DeSoto,114.43,APPROVED,2841,A,approved,STANDARD,0,PRC DESOTO,"SEALANT: 654 SEMKIT,6OZ,DMS2082 CL B1/2",Chemicals,Competitive,SC,Base,1
22CTG=SD,"AeroShell 550043626 Multipurpose Grease 22, 13.4 oz",Lubricants,,https://shop.boeing.com/content-images/22CTG=SD_280.JPG,,https://shop.boeing.com/aviation-supply/p/22CTG=SD,5309,,AeroShell,107.35,APPROVED,2628,A,approved,STANDARD,0,SOPUS PRODUCTS,"GREASE: SYNTHETIC,13.4OZ,CT",Chemicals,Competitive,SC,Base,1
756-1QT=2U,"ROYCO<sup>&#174;</sup> 756 Red MIL-PRF-5606H Petroleum Base Hydraulic Fluid, 1 qt",Fluids,,https://shop.boeing.com/content-images/756-1QT=2U_280.JPG,,https://shop.boeing.com/aviation-supply/p/756-1QT=2U,12711,,Lanxess,66.83,APPROVED,2610,A,approved,STANDARD,0,LANXESS CORPORATION,"HYD FLUID: LUBRICANT,QT",Chemicals,Competitive,SC,Base,1
452-0133=1Y,Artex Lithium ELT Battery Pack,ELT Systems,,https://shop.boeing.com/content-images/452-0133=1Y_280.JPG,,https://shop.boeing.com/aviation-supply/p/452-0133=1Y,1220,,ACR/Artex,116.7,APPROVED,2607,A,approved,STANDARD,0,"ACR ELECTRONICS, INC.","BATTERY PK: ELT,LITHIUM,5YR",Avionics,Competitive,SC,Base,1
DC4-5-30Z=02,Molykote 4 Electrical Insulating Compound 1927574 5.3 oz (150 g) tube,Sealants,,https://shop.boeing.com/content-images/DC4-5-30Z=02_280.JPG,,https://shop.boeing.com/aviation-supply/p/DC4-5-30Z=02,43,,Dow Corning,7.94,APPROVED,2600,A,approved,STANDARD,0,DDP SPECIALTY ELECTRONIC MATERIAL U,"SEALANT: ELECTRIC INSULATE,5.3OZ",Chemicals,Competitive,SC,Base,1
MS20995C32SS1LB=19,"Malin Co. MS20995C32SS1LB Stainless Steel .032 Diameter Safety Lockwire,1 lb",Safety Lock Wire,,https://shop.boeing.com/content-images/MS20995C32SS1LB=19_280.JPG,,https://shop.boeing.com/aviation-supply/p/MS20995C32SS1LB=19,12821,,Malin Company,101.76,APPROVED,6544,A,approved,STANDARD,0,MALIN CO,"WIRE: LOCK,SS,.032,1LB",Hardware,Competitive,SC,Base,1
CH48110-1=2G,"Champion CH48110-1 Piston - Oil Filter, Short, Spin-On",Ignition & Filtration,,https://shop.boeing.com/content-images/CH48110-1=2G_280.JPG,,https://shop.boeing.com/aviation-supply/p/CH48110-1=2G,20,,Champion Aviation,1.71,LOW,5749,A,approved,STANDARD,0,"CHAMPION AEROSPACE, INC.","FILTER: OIL,SPIN-ON,SHORT",Piston related,Competitive,SC,Base,1
1045457=CP,"Phillips 66 1045457 X/C 20W-50 Aviation Oil, 1 qt",Lubricants,,https://shop.boeing.com/content-images/1045457=CP_280.JPG,,https://shop.boeing.com/aviation-supply/p/1045457=CP,41328,,Phillips 66,71.82,APPROVED,5243,A,approved,STANDARD,0,PHILLIPS 66 COMPANY,"OIL: PISTON ENGINE,20W50,QT",Chemicals,Competitive,SC,Base,1
